Date,SP500,APPL,AMZN,AMD,IBM,MSFT
2010-12-17,1243.910034,30.671507000000002,177.580002,8.1,113.41028600000001,22.748903
2010-12-20,1247.079956,30.824575,183.28999299999998,8.24,113.027046,22.675526
2010-12-21,1254.599976,31.014954,184.75,8.14,113.98905900000001,22.887516
2010-12-22,1258.839966,31.106780999999998,184.759995,8.11,114.153297,22.985360999999997
2010-12-23,1256.77002,30.957559999999997,182.58999599999999,8.04,114.106384,23.07505
2010-12-27,1257.540039,31.060878999999996,182.139999,8.05,113.676193,22.887516
2010-12-28,1258.51001,31.136446000000003,181.08999599999999,8.09,113.965599,22.838594
2010-12-29,1259.780029,31.119228000000003,183.369995,8.08,114.59913600000002,22.805982999999998
2010-12-30,1257.880005,30.963296999999997,182.75,8.14,114.716431,22.708139000000003
2010-12-31,1257.640015,30.85807,180.0,8.18,114.78685800000001,22.757057
2011-01-03,1271.869995,31.528688,184.220001,8.47,115.34999099999999,22.814135
2011-01-04,1270.199951,31.693233000000003,185.009995,8.77,115.475121,22.903831
2011-01-05,1276.560059,31.952478000000003,187.419998,8.91,115.013687,22.830442
2011-01-06,1273.849976,31.926651,185.860001,8.69,116.27291899999999,23.49905
2011-01-07,1271.5,32.155293,185.490005,8.83,115.701958,23.319666
2011-01-10,1269.75,32.76086,184.679993,9.19,115.475121,23.009823
2011-01-11,1274.47998,32.683372,184.33999599999999,8.36,115.19355800000001,22.920137
2011-01-12,1285.959961,32.949321999999995,184.080002,8.39,116.61702700000001,23.278906
2011-01-13,1283.76001,33.069874,185.529999,8.26,116.39807900000001,22.985360999999997
2011-01-14,1293.23999,33.337727,188.75,8.2,117.320953,23.07505
2011-01-18,1295.02002,32.588665,191.25,8.1,117.829369,23.368586999999998
2011-01-19,1281.920044,32.415508,186.869995,7.93,121.77133899999998,23.213663
2011-01-20,1280.26001,31.826202000000002,181.96000700000002,8.02,121.85739099999999,23.115824
2011-01-21,1283.349976,31.256037,177.419998,7.54,121.622772,22.846756
2011-01-24,1290.839966,32.282539,176.850006,7.68,124.85302,23.140284
