Date,S&P,ADBE,AMD,CAT,XTO,XYL
20101216,0.006166046,0.028451393,0.001246223,0.000858631,,
20101217,0.000836454,0.009422469,0.008679226,-0.006566512,,
20101220,0.002545111,0.013370219,0.017136331,0.00763875,,
20101221,0.006011995,0.05832834,-0.012210243,0.014154353,,
20101222,0.003373857,-0.009175971,-0.003569363,-0.000634201,,
20101223,-0.001645681,0.006585269,-0.008792541,-0.001269806,,
20101227,0.000612509,0.003235759,0.001243227,-0.004031114,,
20101228,0.000771027,-0.00096947,0.004956695,-0.004048183,,
20101229,0.001008636,0.001615694,-0.001236764,0.000960539,,
20101230,-0.001509358,-0.013000137,0.007398563,0.000959539,,
20101231,-0.000190807,0.006845516,0.004901966,-0.002239506,,
20110103,0.011251294,0.016433232,0.034838046,0.005218361,,
20110104,-0.001313925,0.007006398,0.034806176,-0.004683953,,
20110105,0.004994677,0.022282882,0.015837915,0.008606855,,
20110106,-0.002125215,0.001550797,-0.025000935,-0.010422122,,
20110107,-0.001846486,-0.007152518,0.015981611,0.00202894,,
20110110,-0.001377275,0.028309478,0.039960824,-0.003633594,,
20110111,0.003718206,0.000606816,-0.094657993,0.005978096,,
20110112,0.008967254,0.017805536,0.003582575,-0.004908025,,
20110113,-0.001712211,-0.005750502,-0.015616302,0.006928939,,
20110114,0.00735741,0.012208176,-0.007290511,-0.001381954,,
20110118,0.001375465,0.011475899,-0.011961251,0.023340479,,
20110119,-0.010167166,-0.007930362,-0.021519901,-0.007195828,,
20110120,-0.001295798,-0.012463346,0.011285083,-0.02040783,,
20110121,0.002410638,-0.006590671,-0.061715842,-0.009229461,,
20110124,0.005819315,0.022586005,0.018397719,0.019432951,,
20110125,0.000263428,-0.013907259,-0.026387097,-0.001904813,,
20110126,0.004212024,-0.001192711,0.001469919,0.014305191,,
20110127,0.002241791,0.009796854,0.033990714,0.00914902,,
20110128,-0.018013806,-0.041006387,-0.034123645,-0.009879643,,
20110131,0.00763335,0.017089145,0.044393848,0.013805267,,
20110201,0.016555792,0.013822034,0.04860729,0.010255235,,
20110202,-0.002726231,-0.002389853,0.008479943,0.010958733,,
20110203,0.002351433,0.002986536,0.004813397,-0.001616306,,
20110204,0.00288011,-0.005082896,0.008367891,0.006648847,,
20110207,0.006220783,0.005977101,-0.008367914,0.008797191,,
20110208,0.00417602,0.000297956,-0.010862787,0.001392031,,
20110209,-0.002789652,-0.016822712,-0.001214737,-0.008183393,,
20110210,0.000749212,0.016822702,-0.001215739,0.008084234,,
20110211,0.005492261,0.002974572,0.007272491,0.028806092,,
20110214,0.002382085,0.005627138,0.041401986,-0.002707662,,
20110215,-0.003240155,0.002360213,-0.003482055,-0.002521175,,
20110216,0.006237939,0.021857378,0.044350801,0.005325793,,
20110217,0.003070972,0.008325249,0.048843496,-0.001836686,,
20110218,0.001922873,0.011652841,-0.027928392,0.023899127,,
20110222,-0.020742206,-0.047744861,-0.036610044,-0.037046838,,
20110223,-0.006130715,-0.010727333,-0.03448586,-0.019700792,,
20110224,-0.000994872,0.002094804,0.062342675,0.005483936,,
20110225,0.010495248,0.034669024,0.020664021,0.014118858,,
20110228,0.00554568,-0.003761064,-0.008648289,0.009076682,,
20110301,-0.015864862,-0.015481218,-0.020291487,-0.030279842,,
20110302,0.001613898,0.01490142,0.015938308,0.011054671,,
20110303,0.017072435,0.01639585,0.011924618,0.031968518,,
20110304,-0.00740539,0.006257382,-0.005944634,-0.011674887,,
20110307,-0.008376215,-0.015716865,-0.042629878,-0.008871233,,
20110308,0.008883162,0.016283698,0.016825651,0.01939372,,
20110309,-0.001362631,-0.00454431,-0.036243948,-0.017144124,,
20110310,-0.019051281,-0.00771569,-0.029258897,-0.03955717,,
20110311,0.007055565,-0.007197842,0.026949576,0.016431264,,
20110314,-0.006067696,-0.015431455,-0.025763035,0.020582715,,
20110315,-0.011263545,-0.030991308,-0.017954217,-0.013310189,,
20110316,-0.019687482,-0.029174466,-0.019513149,-0.003480048,,
20110317,0.013309266,-0.007977738,0.02312944,0.026731508,,
20110318,0.00430094,0.004857185,0.028471804,0.018638224,,
20110321,0.014874668,0.01088158,0,0.023795625,,
20110322,-0.003556885,0.016560121,-0.022472629,-0.007463785,,
20110323,0.002909742,-0.03717864,0.027140346,-0.000281039,,
20110324,0.009297393,0.028320171,0.027555827,0.014968412,,
20110325,0.003156151,0.001532825,0.005647025,0.006622026,,
20110328,-0.002751619,-0.006454787,-0.021628213,0.002837969,,
20110329,0.00703524,0.005841903,-0.001151663,0.010366086,,
20110330,0.006662463,0.010065176,0.01259337,0.008916133,,
20110331,-0.001831178,0.006352778,-0.021852026,-0.001615304,,
20110401,0.004950713,0.029711218,-0.0283038,0.015770982,,
20110404,0.00034515,0.006129178,-0.031593872,0.002295364,,
20110405,-0.000180071,-0.005543336,0.001234238,-0.009481811,,
20110406,0.002181296,0.001753462,0.038698461,-0.011732558,,
20110407,-0.001521162,0.006984551,-0.002374818,-0.010414038,,
20110408,-0.004012483,-0.009617096,0.007108673,-0.000273037,,
20110411,-0.002797289,0.006712421,-0.005920492,-0.006852424,,
20110412,-0.007807095,-0.008470776,-0.019184858,-0.02318777,,
20110413,0.000190218,0.003513819,-0.007290511,0.009897854,,
20110414,8.37E-05,0.003501861,-0.001220745,-0.000465108,,
20110415,0.003917729,0.005229303,0.009720601,-0.003444927,,
20110418,-0.011078998,-0.019310249,-0.008500023,-0.031360645,,
20110419,0.00571481,-0.005925521,0.008500766,0.020952946,,
20110420,0.013424435,0.001188294,0.042610155,0.020338758,,
20110421,0.005262909,-0.006252506,0.009227297,0.010472967,,
20110425,-0.00159394,-0.007495018,-0.001148659,-0.005222614,,
20110426,0.008939507,-0.003013536,0.020478869,0.027992528,,
20110427,0.006230398,0.015574092,0.007852091,0.005967161,,
20110428,0.003549118,0.010935984,0.013318908,0.000265965,,
20110429,0.00229802,-0.013911315,0.003302541,0.024294485,,
20110502,-0.001754249,0,-0.007721736,-0.009051845,,
20110503,-0.003385027,-0.0017896,-0.025801002,-0.009664552,,
20110504,-0.006878915,-0.008094674,-0.001136646,-0.022318209,,
20110505,-0.009111216,-0.008464725,0.009059835,-0.012536251,,
20110506,0.003812643,0.013868388,0.005621172,0.008647502,,
20110509,0.00453387,0.016922012,0.00223949,0.011892009,,
20110510,0.008041616,0.022701363,0,0.010777711,,
20110511,-0.01117369,0.018532213,-0.00673362,-0.025938513,,
20110512,0.004883493,0.012910302,0.005615205,-0.01235096,,
20110513,-0.008100046,-0.014890312,-0.003364654,-0.021400363,,
20110516,-0.006223719,-0.026966346,-0.026182797,-0.002259551,,
20110517,-0.000368629,0.009550251,-0.015107546,-0.038530871,,
20110518,0.008765273,0.004310696,0.015107308,0.03058158,,
20110519,0.002175573,0.015367316,-0.003466,0.000474887,,
20110520,-0.007717974,-0.002827995,-0.002317684,-0.009254693,,
20110523,-0.011997265,-0.025237811,-0.015195875,-0.023664816,,
20110524,-0.000827722,-0.008458674,-0.011848922,-0.00334258,,
20110525,0.003178113,-0.000293043,0.004756669,0.016602414,,
20110526,0.003945322,0.011941417,0.005913481,0.009062808,,
20110527,0.004072616,-0.007264321,0.001178306,0.003927278,,
20110531,0.010537014,0.009866169,0.022132265,0.011406696,,
20110601,-0.023048225,-0.014836519,-0.036367348,-0.044056386,,
20110602,-0.001225587,0.004094606,-0.016260488,0.009340244,,
20110603,-0.009781492,-0.02932274,-0.032709159,-0.01072329,,
20110606,-0.010818516,-0.013009255,-0.021560772,-0.012340836,,
20110607,-0.000956866,0.005163645,-0.011605079,0.00019998,,
20110608,-0.004195663,-0.023602357,-0.011741664,-0.018593798,,
20110609,0.007350409,-0.0007753,0.002621561,0.01236721,,
20110610,-0.014078483,-0.017062744,-0.006566512,-0.025198841,,
20110613,0.000668532,-0.00031605,-0.006609797,-0.014046187,,
20110614,0.012532914,0.013490591,0.01709406,0.025039869,,
20110615,-0.01758557,-0.030372613,-0.022413312,-0.022841901,,
20110616,0.001752798,-0.010657591,-0.042211501,-0.001987975,,
20110617,0.00304039,-0.010771808,-0.026781443,0.005119871,,
20110620,0.005380689,0.015630209,-0.015838774,0.022975041,,
20110621,0.013334179,0.033675559,0.046784344,0.03217189,,
20110622,-0.00648946,-0.064517188,-0.022410244,-0.012305402,,
20110623,-0.002831993,0.01422731,0,0.003986045,,
20110624,-0.011795077,-0.015560438,-0.022923753,-0.00538447,,
20110627,0.009142537,0.030235272,0.002894806,0.007867966,,
20110628,0.012861293,-0.00324225,0.004325631,0.029713159,,
20110629,0.008248633,0.011624177,-0.00867048,-0.004632714,,
20110630,0.010068372,0.009584918,0.01440968,0.029551035,,
20110701,0.014306869,0.00254077,0.017021312,0.02008592,,
20110705,-0.001337072,-0.00031705,0.004210125,-0.001750531,,
20110706,0.001001058,0.00411552,-0.019802787,0.015102383,,
20110707,0.010399583,0.013182725,0.021202627,0.013982784,,
20110708,-0.006985459,-0.016664078,-0.028370668,-0.01098916,,
20110711,-0.018256167,-0.017914511,-0.027718636,-0.020589517,,
20110712,-0.004443369,-0.020545623,-0.050048806,-0.011437156,,
20110713,0.003101027,-0.009268823,0.007745923,0.015865475,,
20110714,-0.006738783,-0.024235317,-0.006192132,-0.009804911,,
20110715,0.005539056,-0.002046092,-0.001554207,0.016410606,,
20110718,-0.008163118,-0.017912475,-0.039656008,-0.014367723,,
20110719,0.016177149,0.021661682,0.047402535,0.016924961,,
20110720,-0.000671058,-0.0081965,0.018349611,0.006092404,,
20110721,0.013455263,0.013623774,-0.015267964,0.011626154,,
20110722,0.00090744,0.005398402,0.175890925,-0.059533467,,
20110725,-0.005658995,-0.002357777,-0.015605129,0.004838277,,
20110726,-0.004113421,-0.000675228,0.00392429,-0.004363506,,
20110727,-0.020517724,-0.03888325,-0.019776268,-0.037382084,,
20110728,-0.003239208,-0.016985439,-0.012056387,-0.016917294,,
20110729,-0.006471428,-0.011125661,-0.010840547,-0.008567597,,
20110801,-0.004140861,-0.001445044,-0.01648412,0.019347622,,
20110802,-0.025888908,-0.023401696,-0.015352245,-0.035779521,,
20110803,0.005003146,0.012500542,0.007007391,-0.00930415,,
20110804,-0.049001656,-0.045597965,-0.096708056,-0.072463172,,
20110805,-0.000575082,-0.020476214,0.009188655,0.015952086,,
20110808,-0.068958369,-0.069076804,-0.099281254,-0.096740002,,
20110809,0.046317441,0.036949868,0.039609099,0.057400607,,
20110810,-0.045156797,-0.084486567,-0.054876549,-0.046444019,,
20110811,0.045250595,0.051293694,0.053257314,0.043811123,,
20110812,0.005247875,0.004158342,0.006462076,0.028918792,,
20110815,0.021550728,0.022565474,0.034813902,0.017220866,,
20110816,-0.009786275,-0.000811329,-0.014095882,-0.022356044,,
20110817,0.000946939,-0.002846046,-0.032054293,-0.019323502,,
20110818,-0.0456186,-0.053524202,-0.058692178,-0.050428405,,
20110819,-0.015122756,-0.025670691,0.032288084,-0.041157467,,
