Date,S&P,AAPL,AMD,AMZN,C,CAT,CME
20120604,0.000109548,0.005864769,-0.017606081,0.03004121,-0.022705838,-0.02678247,0.01463932
20120605,0.005710514,-0.002590352,0.034049674,-0.00635817,0.036785057,0.004673064,0.027941962
20120606,0.022787776,0.015216638,0.032927878,0.020565082,0.052574423,0.035350734,0.004909927
20120607,-0.000106471,0.000454897,-0.044149399,0.005315846,-0.008511117,0.005523716,-0.010405955
20120608,0.008081421,0.014929991,0.025708682,-0.001464071,0.031457969,0.005265115,0.017946985
20120611,-0.012700423,-0.015892621,-0.037935539,-0.009104319,-0.047566563,-0.027896515,0.006240488
20120612,0.01158339,0.008698062,0.037935272,-0.000370068,0.042150072,0.021599052,0.007329077
20120613,-0.00704803,-0.006967215,-0.025708654,-0.00783965,0.001808364,-0.020425181,-0.013091319
20120614,0.010756593,-0.001101607,0,-0.001304851,0.008636597,0.00701037,0.00444411
20120615,0.010284745,0.004538685,0.018916941,0.018022613,0.014230268,0.012036273,0.018228841
20120618,0.001443703,0.020088861,0.010169119,0.019546712,-0.027212936,-0.002188393,0.015354514
20120619,0.009767834,0.002779135,-0.020443553,0.006134148,0.033901785,0.023921584,-0.008218681
20120620,-0.001687781,-0.002845043,0.04212898,-0.004518192,0.012552882,-0.018976928,-0.009657484
20120621,-0.022513208,-0.013874812,-0.057741407,-0.011023537,-0.036342459,-0.02544397,-0.020555831
20120622,0.007148989,0.007639743,0.001746474,0.007160304,0.005732538,-0.000235028,0.002610589
20120625,-0.016083503,-0.019665097,-0.057465991,-0.009452535,-0.045313315,-0.024665713,-0.018983043
20120626,0.004761368,0.002205566,0.005529683,0.024862354,-0.00074828,-0.001931865,0.007606993
20120627,0.008944782,0.004317665,0.010968624,4.40E-05,0.013747074,-0.005818897,-0.016215768
20120628,-0.002112029,-0.009532288,-0.016499369,-0.01928782,-0.026548308,0.004609361,-0.001284825
20120629,0.024614794,0.025932819,0.0574667,0.031315511,0.037922756,0.027219174,0.013442247
20120702,0.002456293,0.014483604,0.003483924,0.004239003,0.001822339,-0.014591947,0.011606385
20120703,0.006212772,0.011560914,0.047547488,0.000915581,0.006895174,0.032682075,-0.004952242
20120705,-0.004698042,0.017414484,-0.025190637,-0.010819318,-0.029732667,0.003809734,-0.017680381
20120706,-0.009477418,-0.00667825,-0.022357067,-0.008891412,-0.018045851,-0.025438841,-0.006279676
20120709,-0.001640176,0.013133378,-0.022868502,0,-0.00952926,-0.017526699,-0.005556408
20120710,-0.008159121,-0.009295066,-0.118896155,-0.024970176,-0.008848029,-0.035129892,-0.012054363
20120711,-1.49E-05,-0.006234394,-0.020243524,-0.005161297,-0.000386075,-0.006624896,0.002353229
20120712,-0.004999574,-0.009191109,-0.002047094,-0.013879881,-0.02307008,-0.001254787,0.004574521
